iter	Passed	Remaining
0	0	66
1	1	64
2	1	61
3	2	63
4	3	68
5	4	71
6	5	73
7	6	76
8	7	77
9	8	78
10	9	78
11	10	77
12	11	76
13	12	75
14	13	75
15	14	75
16	15	74
17	16	73
18	17	73
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	44	33
57	45	32
58	46	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	69	2
97	70	1
98	70	0
99	71	0
