iter	Passed	Remaining
0	146	146321
1	148	74137
2	150	49977
3	152	37893
4	153	30606
5	155	25774
6	158	22455
7	160	19952
8	162	17906
9	164	16317
10	166	14946
11	168	13862
12	170	12927
13	171	12109
14	174	11435
15	176	10849
16	178	10327
17	181	9885
18	183	9451
19	184	9052
20	187	8729
21	189	8409
22	191	8118
23	193	7859
24	195	7636
25	197	7409
26	200	7234
27	203	7060
28	205	6865
29	206	6689
30	209	6535
31	210	6381
32	212	6240
33	215	6112
34	216	5969
35	218	5837
36	220	5726
37	221	5620
38	225	5545
39	227	5455
40	229	5374
41	232	5306
42	234	5221
43	237	5162
44	239	5083
45	241	5003
46	243	4929
47	244	4857
48	246	4787
49	249	4734
50	250	4654
51	250	4572
52	252	4509
53	254	4458
54	256	4401
55	257	4347
56	259	4293
57	261	4242
58	262	4193
59	264	4141
60	265	4088
61	267	4048
62	269	4006
63	271	3971
64	273	3928
65	274	3891
66	276	3850
67	277	3810
68	279	3771
69	280	3729
70	282	3693
71	284	3663
72	285	3629
73	287	3595
74	289	3566
75	290	3537
76	292	3507
77	294	3477
78	295	3444
79	296	3409
80	297	3378
81	299	3350
82	300	3315
83	301	3287
84	302	3260
85	304	3235
86	306	3213
87	308	3193
88	310	3174
89	311	3153
90	313	3129
91	314	3104
92	315	3081
93	317	3056
94	318	3033
95	319	3012
96	321	2992
97	322	2970
98	323	2947
99	324	2924
100	326	2901
101	327	2879
102	328	2858
103	329	2837
104	330	2819
105	331	2798
106	333	2781
107	334	2765
108	336	2747
109	337	2730
110	338	2712
111	339	2695
112	341	2679
113	342	2662
114	343	2644
115	344	2626
116	345	2607
117	346	2590
118	347	2573
119	348	2555
120	349	2540
121	350	2522
122	351	2506
123	352	2491
124	353	2474
125	354	2460
126	355	2445
127	356	2429
128	357	2415
129	358	2400
130	359	2386
131	360	2371
132	361	2358
133	362	2344
134	363	2330
135	364	2317
136	365	2304
137	366	2290
138	367	2277
139	368	2265
140	370	2254
141	370	2239
142	371	2226
143	372	2214
144	373	2201
145	374	2188
146	374	2175
147	375	2163
148	376	2152
149	377	2140
150	378	2128
151	379	2117
152	380	2106
153	381	2095
154	382	2084
155	383	2074
156	384	2064
157	385	2054
158	386	2044
159	387	2034
160	388	2022
161	389	2013
162	390	2003
163	391	1995
164	392	1986
165	393	1978
166	394	1968
167	395	1960
168	397	1952
169	398	1943
170	399	1936
171	400	1928
172	401	1919
173	402	1911
174	403	1903
175	404	1895
176	405	1887
177	407	1881
178	408	1874
179	409	1867
180	411	1861
181	412	1854
182	413	1846
183	414	1839
184	415	1831
185	416	1824
186	417	1816
187	418	1808
188	419	1800
189	420	1793
190	421	1786
191	422	1779
192	423	1772
193	424	1765
194	426	1758
195	427	1752
196	428	1745
197	429	1739
198	430	1732
199	431	1725
200	432	1718
201	433	1711
202	434	1704
203	435	1697
204	436	1691
205	437	1685
206	438	1678
207	439	1672
208	440	1665
209	441	1659
210	442	1652
211	443	1646
212	444	1641
213	445	1634
214	446	1629
215	447	1623
216	448	1617
217	449	1611
218	450	1605
219	451	1600
220	452	1594
221	453	1588
222	454	1583
223	455	1577
224	456	1572
225	457	1566
226	458	1561
227	459	1556
228	460	1551
229	461	1545
230	462	1539
231	463	1534
232	464	1529
233	465	1523
234	466	1518
235	467	1512
236	468	1506
237	468	1501
238	469	1495
239	470	1490
240	471	1485
241	472	1479
242	473	1474
243	474	1469
244	474	1463
245	475	1458
246	476	1452
247	477	1447
248	477	1441
249	478	1435
250	479	1430
251	480	1425
252	480	1419
253	481	1414
254	482	1408
255	482	1403
256	483	1397
257	484	1392
258	485	1387
259	485	1382
260	486	1377
261	487	1373
262	488	1368
263	488	1363
264	490	1359
265	490	1354
266	491	1349
267	492	1344
268	492	1339
269	493	1334
270	494	1329
271	495	1325
272	495	1320
273	496	1315
274	497	1311
275	498	1306
276	498	1302
277	499	1297
278	500	1292
279	500	1288
280	501	1284
281	502	1280
282	503	1276
283	504	1271
284	505	1267
285	505	1263
286	506	1258
287	507	1254
288	508	1249
289	508	1245
290	509	1241
291	510	1237
292	511	1233
293	511	1228
294	512	1224
295	513	1220
296	513	1215
297	514	1211
298	515	1207
299	515	1203
300	516	1199
301	517	1196
302	518	1192
303	518	1188
304	519	1184
305	520	1180
306	521	1177
307	522	1173
308	523	1169
309	523	1165
310	524	1162
311	525	1159
312	526	1155
313	527	1152
314	528	1148
315	528	1145
316	529	1141
317	530	1137
318	531	1134
319	532	1130
320	533	1127
321	533	1124
322	534	1120
323	535	1117
324	536	1114
325	537	1110
326	537	1107
327	539	1104
328	539	1101
329	540	1097
330	541	1095
331	542	1091
332	543	1088
333	544	1085
334	545	1081
335	546	1079
336	547	1077
337	548	1073
338	549	1070
339	549	1067
340	550	1063
341	551	1060
342	552	1057
343	553	1055
344	554	1052
345	555	1049
346	555	1045
347	556	1042
348	557	1039
349	557	1036
350	558	1033
351	559	1029
352	560	1026
353	560	1023
354	561	1020
355	562	1017
356	563	1014
357	563	1011
358	564	1008
359	565	1005
360	566	1002
361	567	999
362	567	996
363	568	993
364	569	990
365	570	987
366	571	985
367	572	982
368	572	979
369	573	976
370	574	974
371	575	971
372	576	968
373	577	965
374	577	963
375	578	960
376	579	957
377	580	955
378	581	952
379	582	949
380	582	947
381	583	944
382	584	942
383	586	940
384	586	937
385	587	935
386	588	932
387	589	929
388	590	927
389	591	924
390	592	922
391	593	919
392	593	917
393	594	914
394	595	912
395	596	909
396	597	907
397	598	904
398	599	902
399	600	900
400	601	897
401	601	895
402	602	893
403	604	891
404	605	889
405	606	886
406	607	884
407	607	882
408	608	879
409	610	878
410	611	876
411	611	873
412	612	871
413	614	869
414	615	867
415	616	865
416	617	862
417	618	861
418	619	858
419	620	856
420	621	854
421	621	851
422	622	849
423	623	847
424	624	845
425	625	842
426	626	840
427	627	838
428	628	836
429	629	834
430	630	831
431	631	829
432	631	827
433	632	825
434	633	822
435	634	820
436	635	818
437	636	816
438	637	814
439	638	812
440	639	810
441	640	808
442	641	806
443	641	803
444	642	801
445	643	799
446	644	797
447	645	795
448	646	792
449	646	790
450	647	788
451	648	786
452	649	784
453	650	781
454	650	779
455	651	777
456	652	775
457	653	773
458	654	770
459	654	768
460	656	767
461	656	764
462	657	762
463	658	761
464	659	758
465	660	756
466	661	754
467	662	752
468	662	750
469	663	748
470	664	746
471	665	744
472	666	742
473	667	740
474	667	738
475	668	736
476	669	734
477	670	732
478	671	730
479	672	728
480	672	726
481	673	724
482	674	721
483	675	719
484	675	717
485	676	715
486	677	713
487	677	711
488	678	709
489	679	707
490	680	705
491	681	703
492	682	701
493	682	699
494	683	697
495	684	695
496	685	693
497	685	691
498	686	689
499	687	687
500	687	685
501	688	683
502	689	681
503	689	679
504	690	676
505	691	674
506	691	672
507	692	670
508	693	668
509	694	666
510	694	664
511	695	663
512	696	661
513	697	659
514	697	657
515	698	655
516	699	653
517	700	651
518	700	649
519	701	647
520	702	645
521	702	643
522	703	641
523	704	639
524	704	637
525	705	636
526	706	634
527	707	632
528	707	630
529	708	628
530	709	626
531	710	624
532	710	622
533	711	621
534	712	619
535	713	617
536	714	615
537	714	613
538	715	611
539	716	610
540	716	608
541	717	606
542	718	604
543	719	602
544	719	600
545	720	599
546	721	597
547	721	595
548	722	593
549	723	591
550	724	590
551	725	588
552	726	586
553	726	585
554	727	583
555	728	581
556	729	579
557	730	578
558	730	576
559	731	574
560	732	573
561	733	571
562	733	569
563	734	567
564	735	566
565	735	564
566	736	562
567	737	560
568	738	559
569	739	557
570	739	555
571	740	554
572	741	552
573	742	550
574	743	549
575	744	548
576	745	546
577	746	544
578	747	543
579	747	541
580	748	539
581	749	538
582	750	536
583	751	535
584	751	533
585	752	531
586	753	530
587	754	528
588	755	526
589	756	525
590	756	523
591	757	522
592	758	520
593	759	518
594	760	517
595	761	516
596	762	514
597	763	513
598	763	511
599	764	509
600	766	508
601	767	507
602	767	505
603	769	504
604	769	502
605	770	501
606	771	499
607	772	498
608	773	496
609	774	495
610	775	493
611	776	492
612	777	490
613	778	489
614	779	487
615	780	486
616	780	484
617	781	483
618	782	481
619	783	480
620	784	478
621	785	477
622	786	475
623	787	474
624	787	472
625	788	471
626	789	469
627	790	468
628	791	467
629	792	465
630	793	464
631	794	462
632	795	461
633	795	459
634	796	457
635	797	456
636	798	455
637	799	453
638	800	452
639	801	450
640	801	449
641	802	447
642	803	446
643	804	444
644	805	443
645	806	441
646	807	440
647	808	438
648	808	437
649	809	436
650	810	434
651	811	433
652	812	431
653	813	430
654	814	428
655	814	427
656	815	425
657	816	424
658	817	422
659	817	421
660	818	419
661	819	418
662	820	416
663	820	415
664	821	413
665	822	412
666	823	410
667	823	409
668	824	407
669	825	406
670	825	404
671	826	403
672	827	402
673	828	400
674	829	399
675	830	397
676	830	396
677	831	394
678	832	393
679	833	392
680	833	390
681	834	389
682	835	387
683	836	386
684	837	385
685	838	383
686	838	382
687	839	380
688	840	379
689	841	377
690	841	376
691	842	375
692	843	373
693	844	372
694	844	370
695	845	369
696	846	367
697	846	366
698	847	364
699	848	363
700	848	362
701	849	360
702	850	359
703	851	357
704	851	356
705	852	354
706	852	353
707	853	352
708	854	350
709	854	349
710	855	347
711	856	346
712	857	344
713	857	343
714	858	342
715	859	340
716	859	339
717	860	337
718	861	336
719	861	335
720	862	333
721	863	332
722	864	331
723	864	329
724	865	328
725	866	327
726	867	325
727	868	324
728	868	322
729	869	321
730	870	320
731	871	318
732	871	317
733	872	316
734	873	314
735	874	313
736	874	312
737	875	310
738	876	309
739	877	308
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	881	300
746	882	298
747	883	297
748	884	296
749	885	295
750	885	293
751	886	292
752	887	291
753	888	289
754	888	288
755	889	287
756	890	285
757	890	284
758	891	283
759	892	281
760	893	280
761	893	279
762	894	277
763	895	276
764	896	275
765	896	273
766	897	272
767	898	271
768	898	269
769	899	268
770	899	267
771	900	266
772	901	264
773	902	263
774	902	262
775	903	260
776	903	259
777	904	258
778	905	256
779	905	255
780	906	254
781	906	252
782	907	251
783	908	250
784	908	248
785	909	247
786	910	246
